Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,# Sharks,$ per shark,Details / Notes
71,2,2,First Defense Nasal Screen,Yes,Healthcare,Male,"$750,000",30%,"$2,500,000",,1,,1,1,,,,3,"$250,000",10% perpetual royalty
72,2,2,Vurtego,No,Fitness / Sports,Male,,,,,,,,,,,,0,,
73,2,2,Wake n' Bacon,No,Food and Beverage,Male,,,,,,,,,,,,0,,
74,2,3,Mod Mom Furniture,Yes,Lifestyle / Home,Female,"$90,000",33%,"$272,727",,,,,,,,,0,#DIV/0!,7.5% royalty fee after they hit $500K
75,2,3,Flipoutz,Yes,Fashion / Beauty,Mixed Team,"$100,000",25%,"$400,000",,,,,1,,,,1,"$100,000",
76,2,3,Fitness Stride,No,Fitness / Sports,Male,,,,,,,,,,,,0,,
77,2,3,Pure Ayre,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
78,2,4,Broccoli Wad,Yes,Food and Beverage,Male,"$50,000",40%,"$125,000",1,,,,,,,,1,"$50,000",
79,2,4,Hillbilly Brand,Yes,Fashion / Beauty,Male,"$75,000",25%,"$300,000",,,,1,1,,,,2,"$37,500",7% royalty
80,2,4,Ride-On Carry-On,Yes,Consumer Products,Mixed Team,"$50,000",25%,"$200,000",1,,,,,,,,1,"$50,000",
81,2,4,Uncle Zip's Beef Jerky,No,Food and Beverage,Male,,,,,,,,,,,,0,,
82,2,5,Lightfilm,Yes,Consumer Products,Male,"$10,000",70%,"$14,286",,,,1,1,,,,2,"$5,000",founders receive 75% of the profit's until the $750k was paid back
83,2,5,Fridge Fronts,Yes,Lifestyle / Home,Female,"$100,000",50%,"$200,000",1,,,,,1,,,2,"$50,000",magnetic decorative finish for refrigerators; deal did not go through
84,2,5,New Era Brands,No,Consumer Products,Male,,,,,,,,,,,,0,,clip-on gum and clip-on contact lens cases
85,2,5,Thin Gloss,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,weight loss lip gloss
86,2,6,Sweep Easy,Yes,Lifestyle / Home,Male,"$75,000",33%,"$227,273",,,,,1,,,,1,"$75,000",
87,2,6,Daisy Cakes,Yes,Food and Beverage,Female,"$50,000",25%,"$200,000",1,,,,,,,,1,"$50,000",Barbara gets $1 per every cake sold until investment is paid back
88,2,6,Hot Mama Gowns,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,luxury maternity gowns
89,2,6,Caddy Swag,No,Fitness / Sports,Mixed Team,,,,,,,,,,,,0,,
90,2,7,Hydromax,Yes,Fitness / Sports,Male,"$50,000",50%,"$100,000",,,,,,,,1,1,"$50,000",
91,2,7,Carsik Bib,No,Children / Education,Male,,,,,,,,,,,,0,,
92,2,7,Ecomowers,No,Green/CleanTech,Male,,,,,,,,,,,,0,,
93,2,7,Games2U,No,Media / Entertainment,Male,,,,,,,,,,,,0,,
94,2,8,HyConn,Yes,Uncertain / Other,Male,"$1,250,000",100%,"$1,250,000",,1,,,,,,,1,"$1,250,000",deal did not go through after show
95,2,8,Origaudio,Yes,Software / Tech,Male,"$150,000",15%,"$1,000,000",,,,1,,,,,1,"$150,000",deal did not go through after diligence
96,2,8,Man Candle,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
97,2,8,Original Runner Company,No,Lifestyle / Home,Female,,,,,,,,,,,,0,,
98,2,9,Aldo Orta Jewelry,Yes,Fashion / Beauty,Male,"$180,000",45%,"$400,000",1,,,,,,1,,2,"$90,000",
99,2,9,One Sole,Yes,Fashion / Beauty,Female,"$500,000",35%,"$1,428,571",,,,,1,,,,1,"$500,000",
100,2,9,CitiKitty,Yes,Pet Products,Female,"$100,000",30%,"$333,333",,,,,,,1,,1,"$100,000",
101,2,9,Samson Martin,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
102,3,1,EZ VIP,Yes,Media / Entertainment,Male,"$150,000",30%,"$500,000",,1,,,1,,,,2,"$75,000",
103,3,1,The Clean Bottle,Yes,Food and Beverage,Male,"$60,000",8%,"$750,000",,1,,,,,,,1,"$60,000",
104,3,1,My Wonderful Life,No,Business Services,Female,,,,,,,,,,,,0,,
105,3,1,Business Ghost,No,Business Services,Male,,,,,,,,,,,,0,,
106,3,2,I Want To Draw A Cat For You,Yes,Software / Tech,Male,"$25,000",33%,"$75,758",,1,,,,,,,1,"$25,000",
107,3,2,Salespreneur,No,Business Services,Male,,,,,,,,,,,,0,,
108,3,2,Invis-A-Rack,No,Consumer Products,Male,,,,,,,,,,,,0,,
109,3,2,Vegas Magic Show,No,Media / Entertainment,Male,,,,,,,,,,,,0,,
